Package,Coach Type,Package days,Boarding Points,SUNDAY_ADULT,SUNDAY_CHILD,MONDAY_ADULT,MONDAY_CHILD,TUESDAY_ADULT,TUESDAY_CHILD,WEDNESDAY _ADULT,WEDNESDAY _CHILD,THURSDAY_ADULT,THURSDAY_CHILD,FRIDAY_ADULT,FRIDAY_CHILD,SATURDAY _ADULT,SATURDAY _CHILD,Single Ticket Extra Tariff
HYDERABAD-KUNTALA POCHERA WATER FALLS-KADEM-JANNARAM-HYDERABAD,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH Ph: 9848540371 : 22:00:00),(YATRINIVAS, Ph: 9848126947 : 22:30:00)",50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
HYDERABAD-KUNTALA POCHERA WATER FALLS-KADEM-JANNARAM-HYDERABAD,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CRO BASHEERBAGH Ph: 9848540371 : 22:00:00),(YATRINIVAS, Ph: 9848126947 : 22:30:00)",50,50,50,50,50,50,50,50,50,50,50,50,50,50,0
HYDERABAD-SHIRIDI-PANDARIPUR,PACKAGE,SAT,"(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 15:15:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 18:15:00),(CHANDANAGAR GANDHI STATUE, Ph: 9848540374 : 18:30:00),(YATRINIVAS, Ph: 9848126947 : 17:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 17:15:00)",0,0,0,0,0,0,0,0,0,0,0,0,2650,2180,500
HYDERABAD-SHIRIDI-NASIK,NON AC PACKAGE,SAT,"(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 15:15:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 18:15:00),(CHANDANAGAR GANDHI STATUE, Ph: 9848540374 : 18:30:00),(YATRINIVAS, Ph: 9848126947 : 17:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 17:15:00)",0,0,0,0,0,0,0,0,0,0,0,0,2550,2100,500
HYDERABAD-BHADRACHALAM-PAPIKONDALU,AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 19:30:00),(CRO TANKBUND, Ph: 9848540371 : 20:30:00),(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 21:15:00)",3550,2850,3550,2850,3550,2850,3550,2850,3550,2850,3550,2850,3550,2850,0
HYDERABAD-BHADRACHALAM-PAPIKONDALU,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 19:30:00),(CRO TANKBUND, Ph: 9848540371 : 20:30:00),(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 21:15:00)",3250,2610,3250,2610,3250,2610,3250,2610,3250,2610,3250,2610,3250,2610,0
HYDERABAD-SHIRIDI,AC PACKAGE VOLVO,"SUN,MON,TUE,WED,THU,FRI,SAT","(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 16:00:00),(CRO BASHEERBAGH, Ph: 9848540371 : 17:00:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 19:00:00),(MIYAPUR CROSS ROADS, Ph: 9848540374 : 19:15:00),(YATRINIVAS, Ph: 9848126947 : 17:45:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 18:00:00)",2850,2340,2850,2340,2850,2340,2850,2340,2850,2340,2850,2340,2850,2340,250
HYDERABAD-SHIRIDI,RETURN JOURNEY AC VOLVO,"SUN,MON,TUE,WED,THU,FRI,SAT","(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 16:00:00),(CRO BASHEERBAGH, Ph: 9848540371 : 17:00:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 19:00:00),(MIYAPUR CROSS ROADS, Ph: 9848540374 : 19:15:00),(YATRINIVAS, Ph: 9848126947 : 17:45:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 18:00:00)",1425,1150,1425,1150,1425,1150,1425,1150,1425,1150,1425,1150,1425,1150,0
HYDERABAD-SHIRIDI,NON AC PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(CHAITANYAPURI, OPP: HP PETROL BUNK - 9848007020 : 16:00:00),(CRO BASHEERBAGH, Ph: 9848540371 : 17:00:00),(KPHB,Beside VRK SILKS, Ph: 9848540374 : 19:00:00),(MIYAPUR CROSS ROADS, Ph: 9848540374 : 19:15:00),(	YATRINIVAS, Ph: 9848126947 : 17:45:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 18:00:00)",2050,1700,2050,1700,2050,1700,2050,1700,2050,1700,2050,1700,2050,1700,250
HYDERABAD-KALESHWARAM TEMPLE AND IRRIGATION PROJECT,AC PACKAGE,SAT,"(CRO TANKBUND, Ph: 9848540371 : 22:00:00),(YATRINIVAS, Ph: 9848126947 : 22:30:00)",1850,1490,0,0,0,0,0,0,0,0,0,0,1850,1490,0
