Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,KESHAWAPOOR (H/O KANAGARTHY   ,2,COMMERCIAL,1,1,0,1.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,KOLANOOR      ,2,COMMERCIAL,136,122,22883,273.65
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,LAMBADITHANDA,2,COMMERCIAL,1,1,178,1.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,MADAKA        ,2,COMMERCIAL,32,30,3279,52.06
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,NAMSANIPALLY (REC)            ,2,COMMERCIAL,22,19,1075,37.47
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,ODELA         ,2,COMMERCIAL,240,226,26841,371.49
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,PITTALA YELLAYAPALLY,2,COMMERCIAL,4,4,194,3.52
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,PEDDAMMAGADDA,2,COMMERCIAL,5,3,454,10.0
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,RAGAMPET,2,COMMERCIAL,20,17,411,29.41
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,RAMALINGAYAPALLY,2,COMMERCIAL,12,11,549,15.02
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,RANGAPUR-II,2,COMMERCIAL,13,10,314,16.62
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,VEPACHETLU THANDA,2,COMMERCIAL,7,7,1127,16.74
WARANGAL,NARSAMPET,NARSAMPET(R),NARSAMPET (RURAL),Akula thanda,2,COMMERCIAL,25,23,1125,30.64
WARANGAL,NARSAMPET,NARSAMPET(R),NARSAMPET (RURAL),BHANOJIPET,2,COMMERCIAL,21,21,8125,55.25
